Year,Source,Value
1997,Non-EU,68862
1998,Non-EU,74698
1999,Non-EU,78751
2000,Non-EU,86836
2001,Non-EU,88028
2002,Non-EU,89547
2003,Non-EU,95921
2004,Non-EU,107570
2005,Non-EU,114518
2006,Non-EU,127761
2007,Non-EU,140922
2008,Non-EU,150359
2009,Non-EU,142718
2010,Non-EU,147446
2011,Non-EU,156259
2012,Non-EU,163006
2013,Non-EU,169070
2014,Non-EU,170361
2015,Non-EU,177864
2016,Non-EU,184230
2017,Non-EU,192650
2018,Non-EU,204137
2019,Non-EU,211640
2020,Non-EU,195442
2021,Non-EU,214631
2022,Non-EU,229745
1997,EU,48821
1998,EU,53566
1999,EU,56737
2000,EU,61287
2001,EU,64435
2002,EU,64450
2003,EU,69956
2004,EU,75476
2005,EU,82030
2006,EU,87885
2007,EU,96276
2008,EU,99937
2009,EU,90855
2010,EU,90555
2011,EU,99474
2012,EU,100810
2013,EU,99048
2014,EU,99256
2015,EU,102731
2016,EU,110120
2017,EU,120704
2018,EU,128072
2019,EU,126853
2020,EU,107161
2021,EU,115341
2022,EU,127528
